City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
246,Khatanga,RU,2022-03-22 00:32:35,71.9667,102.5,-14.75,98,99,6.8
247,Baker City,US,2022-03-22 00:30:47,44.7749,-117.8344,47.91,56,100,0.0
248,San Miguel,SV,2022-03-22 00:32:36,13.4833,-88.1833,85.15,46,72,5.35
249,Vanersborg,SE,2022-03-22 00:32:36,58.3807,12.3234,37.58,80,81,3.44
250,Genhe,CN,2022-03-22 00:32:37,50.7833,121.5167,18.12,77,23,4.25
251,Bandarbeyla,SO,2022-03-22 00:32:37,9.4942,50.8122,74.5,81,13,0.83
252,Lujan,AR,2022-03-22 00:32:38,-34.5703,-59.105,69.94,75,87,1.99
253,Evensk,RU,2022-03-22 00:32:38,61.95,159.2333,34.16,86,100,13.24
254,Mackay,AU,2022-03-22 00:31:59,-21.15,149.2,85.68,69,92,8.05
255,Mabaruma,GY,2022-03-22 00:32:39,8.2,-59.7833,72.07,88,95,3.15
256,Jizan,SA,2022-03-22 00:32:40,17.3333,42.6667,77.94,69,5,1.72
257,Sinnamary,GF,2022-03-22 00:32:40,5.3833,-52.95,76.69,88,100,9.86
258,Grand-Santi,GF,2022-03-22 00:32:41,4.25,-54.3833,72.45,99,100,2.66
259,Portree,GB,2022-03-22 00:32:41,57.4129,-6.1942,47.52,65,71,4.81
260,Ahipara,NZ,2022-03-22 00:32:42,-35.1667,173.1667,75.0,65,0,11.65
261,Haines Junction,CA,2022-03-22 00:32:43,60.7522,-137.5108,31.95,51,100,5.75
262,Pacific Grove,US,2022-03-22 00:32:44,36.6177,-121.9166,67.95,66,0,11.5
263,Severo-Kurilsk,RU,2022-03-22 00:32:44,50.6789,156.125,28.49,63,100,21.63
264,Zhigansk,RU,2022-03-22 00:32:45,66.7697,123.3711,-2.65,93,40,3.49
265,Buala,SB,2022-03-22 00:33:46,-8.145,159.5921,86.47,61,68,2.93
266,Leningradskiy,RU,2022-03-22 00:33:46,69.3833,178.4167,15.31,85,100,9.13
267,Aksu,CN,2022-03-22 00:31:32,41.1231,80.2644,38.84,89,100,1.43
268,Oytal,KZ,2022-03-22 00:33:47,42.9057,73.2697,33.33,96,100,1.03
269,Ha Tinh,VN,2022-03-22 00:33:47,18.3333,105.9,82.58,68,57,3.09
270,Machinga,MW,2022-03-22 00:33:48,-15.1685,35.3,60.17,97,18,3.13
271,Guerrero Negro,MX,2022-03-22 00:33:49,27.9769,-114.0611,61.63,69,0,16.62
272,Luoyang,CN,2022-03-22 00:30:08,34.6836,112.4536,46.09,58,100,8.03
273,Takoradi,GH,2022-03-22 00:33:50,4.8845,-1.7554,79.93,85,98,6.82
274,Nara,JP,2022-03-22 00:31:21,34.6851,135.8049,43.5,80,100,3.96
275,Port Elizabeth,ZA,2022-03-22 00:32:19,-33.918,25.5701,68.31,99,100,3.44
276,Koungou,YT,2022-03-22 00:33:51,-12.7336,45.2042,78.51,94,40,1.14
277,Port Hardy,CA,2022-03-22 00:33:02,50.6996,-127.4199,44.78,87,100,20.71
278,Yumen,CN,2022-03-22 00:33:52,40.2833,97.2,35.37,57,1,14.27
279,Hofn,IS,2022-03-22 00:33:52,64.2539,-15.2082,45.1,100,100,11.3
280,Upernavik,GL,2022-03-22 00:33:53,72.7868,-56.1549,-18.26,66,93,5.46
281,Majene,ID,2022-03-22 00:33:53,-3.5403,118.9707,79.86,80,99,2.37
282,Havre-Saint-Pierre,CA,2022-03-22 00:33:53,50.2334,-63.5986,33.8,64,100,9.22
283,Manokwari,ID,2022-03-22 00:33:54,-0.8667,134.0833,82.47,67,100,1.88
284,Chapais,CA,2022-03-22 00:33:55,49.7834,-74.8492,13.78,88,100,14.58
285,Itarema,BR,2022-03-22 00:33:55,-2.9248,-39.9167,78.35,87,100,9.37
286,Kutum,SD,2022-03-22 00:33:55,14.2,24.6667,68.76,11,1,6.24
287,Sitka,US,2022-03-22 00:33:56,57.0531,-135.33,44.49,76,40,6.91
288,Honiara,SB,2022-03-22 00:33:56,-9.4333,159.95,87.39,64,31,5.68
289,Hambantota,LK,2022-03-22 00:33:57,6.1241,81.1185,75.54,100,20,2.3
290,Kargil,IN,2022-03-22 00:33:11,34.5667,76.1,12.6,75,2,3.4
291,Tiznit,MA,2022-03-22 00:33:58,29.5833,-9.5,52.56,83,46,1.34
292,Praia Da Vitoria,PT,2022-03-22 00:33:58,38.7333,-27.0667,57.45,72,75,19.6
293,Puerto Escondido,MX,2022-03-22 00:33:59,15.85,-97.0667,81.0,70,5,6.06
294,Vila Franca Do Campo,PT,2022-03-22 00:34:00,37.7167,-25.4333,57.61,74,88,11.56
