City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1159,Lodwar,KE,86.41,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
1168,Bundaberg,AU,70.21,overcast clouds,-24.85,152.35,Takalvan Motel
1172,Kutoarjo,ID,75.79,overcast clouds,-7.7169,109.9128,Massagus Hotel
1174,Monrovia,LR,74.97,overcast clouds,6.3005,-10.7969,Sunset Inn
1175,Tagusao,PH,80.15,few clouds,9.1924,117.8141,Green Villa beach resort
1177,Iralaya,HN,83.8,scattered clouds,15.0,-83.2333,Iglesia morava renovada
1180,Wewak,PG,79.41,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
1183,Vengurla,IN,79.38,scattered clouds,15.8667,73.6333,Golven Resort
1184,Atlantic Beach,US,77.13,clear sky,30.3344,-81.3987,One Ocean Resort and Spa
1185,Nortelandia,BR,80.89,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
1186,Santa Fe,AR,80.02,light rain,-31.6333,-60.7,Conquistador Hotel
1188,Paka,MY,78.73,clear sky,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
1192,Labuhan,ID,76.51,overcast clouds,-6.8844,112.2051,DoubleFAG
1193,Madang,PG,75.31,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
1194,Talca,CL,79.84,clear sky,-35.4333,-71.6667,Casa de Huespedes Marbargla
1195,Iquique,CL,72.61,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
1198,Senanga,ZM,73.72,overcast clouds,-16.1167,23.2667,Zango lodge
1199,Jiazi,CN,73.31,broken clouds,22.8779,116.067,Hotel Jin Hao
1200,Shenzhen,CN,77.85,broken clouds,22.5455,114.0683,Grand Skylight
1201,Abeche,TD,83.62,few clouds,13.8292,20.8324,Assaleh Hamdan Haroune
1204,Mahmudabad,IN,76.77,clear sky,27.3,81.1167,"Haider Services, Baitul Anwar"
1208,Luganville,VU,78.06,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
1211,Galle,LK,78.51,few clouds,6.0367,80.217,Amangalla
1212,Maroantsetra,MG,79.5,few clouds,-15.4333,49.7333,Annexe Vatsy Hôtel
1216,Miandrivazo,MG,79.07,moderate rain,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
1219,Dong Xoai,VN,74.55,overcast clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
1220,Cairns,AU,74.07,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
1222,Lufilufi,WS,80.38,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
1223,Cockburn Town,TC,78.42,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
1226,Prado,BR,83.03,few clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
1227,Tubmanburg,LR,82.74,light rain,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
1231,Lahaina,US,71.8,broken clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
1233,Jawhar,SO,84.09,broken clouds,2.7809,45.5005,hantiwadaag village part one
1235,Yarada,IN,84.52,mist,17.65,83.2667,Yarada Jungle Beach Resorts
1236,Puerto Cabezas,NI,85.96,scattered clouds,14.0351,-83.3888,Cabaña Caribe
1240,Caramay,PH,77.61,broken clouds,10.1815,119.236,Peace and Love Beach Club
1242,Mali,GN,85.95,few clouds,12.079,-12.2982,Hotel La Dame de Mali
1244,Road Town,VG,82.44,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
1245,Kingman,US,80.89,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
1249,Ruwi,OM,84.0,clear sky,23.5996,58.5507,Al Falaj Hotel
1252,Payo,ID,72.57,broken clouds,-3.7508,103.6372,Mess keban agung
1253,Nizwa,OM,81.79,clear sky,22.9333,57.5333,Orient Apartments
1261,Kilindoni,TZ,83.46,clear sky,-7.9139,39.6668,Bustani B&B
1262,Manicore,BR,85.44,moderate rain,-5.8092,-61.3003,Hotel Durval
1266,San Juan,AR,81.59,clear sky,-31.5375,-68.5364,Hotel Provincial
1267,Lamar,US,72.64,clear sky,33.6668,-95.5836,Kings Inn Paris TX
1269,Port Moresby,PG,74.62,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
1271,Lages,BR,71.17,clear sky,-27.8161,-50.3261,Hotel Le CanarD Lages
1274,Tucuman,AR,80.6,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
1280,Santiago,CL,83.28,clear sky,-33.4569,-70.6483,Hotel Panamericano
